metric_group,metric,route_key,route_label,lead_min,threshold_mm,point_estimate,ci_low,ci_high,bootstrap_valid_reps,bootstrap_reps
categorical,csi,exprecast,exPreCast + Patch MLP,180,20,0.0015777263566637,0,0.0044566243304871,50000,50000
categorical,pod,exprecast,exPreCast + Patch MLP,180,20,0.0015833603224297,0,0.0044799233553931,50000,50000
categorical,far,exprecast,exPreCast + Patch MLP,180,20,0.611863711001642,0.377740865200758,1,49994,50000
categorical,frequency_bias,exprecast,exPreCast + Patch MLP,180,20,0.0045341681960487,0.000778209035343,0.0092204295564442,50000,50000
continuous,rmse,exprecast,exPreCast + Patch MLP,180,,1.769260546134121,1.530193713307381,2.010660606622696,50000,50000
continuous,mean_bias,exprecast,exPreCast + Patch MLP,180,,-0.137431858686852,-0.1718860272318124,-0.1070011185482144,50000,50000
continuous,correlation,exprecast,exPreCast + Patch MLP,180,,0.4817899226473749,0.4462681718170643,0.5106898933649063,50000,50000
categorical,csi,r2p,Direct R2P,60,1,0.6247593662096281,0.5956132143735886,0.6497280657291412,50000,50000
categorical,pod,r2p,Direct R2P,60,1,0.8029997532817778,0.7791712149977684,0.822488397359848,50000,50000
categorical,far,r2p,Direct R2P,60,1,0.2619463856547355,0.240143210068345,0.2868654504418373,50000,50000
categorical,frequency_bias,r2p,Direct R2P,60,1,1.088211689906389,1.061498993635178,1.116157245635987,50000,50000
categorical,csi,r2p,Direct R2P,60,5,0.5322964924964135,0.5014512374997139,0.5584422931075096,50000,50000
categorical,pod,r2p,Direct R2P,60,5,0.7059165743064492,0.669507572054863,0.7371133208274842,50000,50000
categorical,far,r2p,Direct R2P,60,5,0.316085454324305,0.2910191029310226,0.3423637568950653,50000,50000
categorical,frequency_bias,r2p,Direct R2P,60,5,1.032162587954529,0.9806514650583268,1.081704667210579,50000,50000
categorical,csi,r2p,Direct R2P,60,10,0.4411746257312866,0.4094951763749123,0.4662871681153774,50000,50000
categorical,pod,r2p,Direct R2P,60,10,0.5956781011985594,0.5522382587194443,0.6327344343066216,50000,50000
categorical,far,r2p,Direct R2P,60,10,0.3695450870839916,0.3421210139989853,0.4005234993994236,50000,50000
categorical,frequency_bias,r2p,Direct R2P,60,10,0.9451595127039422,0.875001510977745,1.016044411063194,50000,50000
categorical,csi,r2p,Direct R2P,60,20,0.3208933686367415,0.2754738256335258,0.3579572670161724,50000,50000
categorical,pod,r2p,Direct R2P,60,20,0.4287667782215985,0.3726032681763172,0.4736959375441074,50000,50000
categorical,far,r2p,Direct R2P,60,20,0.4278609136636749,0.3772481828927994,0.4907030932605267,50000,50000
categorical,frequency_bias,r2p,Direct R2P,60,20,0.7598330274569074,0.675162772834301,0.8464311674237252,50000,50000
continuous,rmse,r2p,Direct R2P,60,,1.182723727885429,1.03725029528141,1.331193479895592,50000,50000
continuous,mean_bias,r2p,Direct R2P,60,,0.0650086269057512,0.0514442980289459,0.0787640832364559,50000,50000
continuous,correlation,r2p,Direct R2P,60,,0.8115917666834828,0.7932666644454003,0.825462032854557,50000,50000
