case_rank,event_label,lead_min,threshold_mm,route,route_label,member_count,csi_mean,csi_sd,csi_min,csi_max,finite_pair_count,n_issue_times
2,21 September 2024,90,1,exprecast_patch_cnn,exPreCast + CNN,3,0.7827919844333219,0.0050724981405218,0.7774147608276787,0.7874916499665998,17694,144
2,21 September 2024,90,1,pysteps_patch_cnn,pySTEPS + CNN,3,0.7553857975609231,0.0029795355003508,0.7523250122369065,0.7582768248903071,17694,144
2,21 September 2024,90,5,direct_r2p,Direct R2P,3,0.5324823157240159,0.0140926924088726,0.5165302782324059,0.5432428190237012,17694,144
2,21 September 2024,90,5,exprecast_patch_cnn,exPreCast + CNN,3,0.5319935059330689,0.018110734685193,0.5110972178805877,0.543154089471306,17694,144
2,21 September 2024,90,5,pysteps_patch_cnn,pySTEPS + CNN,3,0.4923861008090116,0.0105979548864726,0.4818980126328763,0.5030906075682195,17694,144
2,21 September 2024,90,10,direct_r2p,Direct R2P,3,0.4178868797785151,0.0187557708202105,0.3962878541191794,0.4300613496932515,17694,144
2,21 September 2024,90,10,exprecast_patch_cnn,exPreCast + CNN,3,0.3372787713096059,0.0204506605919728,0.3139421514462138,0.3520745640408899,17694,144
2,21 September 2024,90,10,pysteps_patch_cnn,pySTEPS + CNN,3,0.2681673432192824,0.008392459820971,0.2595801399533489,0.2763504611330698,17694,144
2,21 September 2024,90,20,direct_r2p,Direct R2P,3,0.2664093423816295,0.0469849114478676,0.2377131394182547,0.320631970260223,17694,144
2,21 September 2024,90,20,exprecast_patch_cnn,exPreCast + CNN,3,0.0350524006560185,0.0079760769524853,0.0264026402640264,0.0421166306695464,17694,144
2,21 September 2024,90,20,pysteps_patch_cnn,pySTEPS + CNN,3,0.0021954029665775,0.0028996735098749,0,0.0054824561403508,17694,144
2,21 September 2024,120,1,direct_r2p,Direct R2P,3,0.7238470003141128,0.0169254580427512,0.7089632383312681,0.7422582181991424,17694,144
2,21 September 2024,120,1,exprecast_patch_cnn,exPreCast + CNN,3,0.745418804792363,0.0038220856535119,0.7414702488874237,0.7491004252535165,17694,144
2,21 September 2024,120,1,pysteps_patch_cnn,pySTEPS + CNN,3,0.708254791669008,0.0035368072313904,0.7056438533895556,0.7122798667301286,17694,144
2,21 September 2024,120,5,direct_r2p,Direct R2P,3,0.4743362661476611,0.0252194580843856,0.4470338983050847,0.496759941089838,17694,144
2,21 September 2024,120,5,exprecast_patch_cnn,exPreCast + CNN,3,0.4662016473679471,0.0160300739473152,0.4480712166172106,0.4784962406015037,17694,144
2,21 September 2024,120,5,pysteps_patch_cnn,pySTEPS + CNN,3,0.4139238389331205,0.0090493502181514,0.4049274486094317,0.4230252351799313,17694,144
2,21 September 2024,120,10,direct_r2p,Direct R2P,3,0.3362122098669615,0.029356974970746,0.3023179888997714,0.3536265656859889,17694,144
2,21 September 2024,120,10,exprecast_patch_cnn,exPreCast + CNN,3,0.2615630136435713,0.0100182242960295,0.2505739586749754,0.2701872889161805,17694,144
2,21 September 2024,120,10,pysteps_patch_cnn,pySTEPS + CNN,3,0.175512896186334,0.0121649936460969,0.1636963696369636,0.1879987232684328,17694,144
2,21 September 2024,120,20,direct_r2p,Direct R2P,3,0.114724138004947,0.0437355858057463,0.072463768115942,0.1597989949748743,17694,144
2,21 September 2024,120,20,exprecast_patch_cnn,exPreCast + CNN,3,0.008352465776227,0.0022104241746574,0.0065288356909684,0.0108108108108108,17694,144
2,21 September 2024,120,20,pysteps_patch_cnn,pySTEPS + CNN,3,0.0003691399040236,0.00063936906887,0,0.0011074197120708,17694,144
2,21 September 2024,150,1,direct_r2p,Direct R2P,3,0.6931763844035533,0.0210598724126031,0.6735386854232355,0.7154165385797725,17694,144
2,21 September 2024,150,1,exprecast_patch_cnn,exPreCast + CNN,3,0.7126098235837225,0.004277752320162,0.7086103453867358,0.71712,17694,144
2,21 September 2024,150,1,pysteps_patch_cnn,pySTEPS + CNN,3,0.6718136117926276,0.0047402629413071,0.6687836642816947,0.6772763262074426,17694,144
2,21 September 2024,150,5,direct_r2p,Direct R2P,3,0.4287501834148359,0.0435955997589012,0.3804277381723914,0.4651295189296897,17694,144
2,21 September 2024,150,5,exprecast_patch_cnn,exPreCast + CNN,3,0.420180166780041,0.0152784676820078,0.4033267205859911,0.433123812308142,17694,144
2,21 September 2024,150,5,pysteps_patch_cnn,pySTEPS + CNN,3,0.3442429208281967,0.0026856255476009,0.3420740740740741,0.347246891651865,17694,144
2,21 September 2024,150,10,direct_r2p,Direct R2P,3,0.2667725404711644,0.0273088172515386,0.2355467459530888,0.2861911987860394,17694,144
2,21 September 2024,150,10,exprecast_patch_cnn,exPreCast + CNN,3,0.2175621177293286,0.0135413631915167,0.2023963730569948,0.2284417549167927,17694,144
2,21 September 2024,150,10,pysteps_patch_cnn,pySTEPS + CNN,3,0.1055860300554373,0.0122743607680425,0.0927326537323249,0.1171850455545083,17694,144
2,21 September 2024,150,20,direct_r2p,Direct R2P,3,0.0353642048789717,0.0128167539460603,0.0232804232804232,0.0488058151609553,17694,144
2,21 September 2024,150,20,exprecast_patch_cnn,exPreCast + CNN,3,0.0014367816091954,0.002488578746507,0,0.0043103448275862,17694,144
2,21 September 2024,150,20,pysteps_patch_cnn,pySTEPS + CNN,3,0,0,0,0,17694,144
2,21 September 2024,180,1,direct_r2p,Direct R2P,3,0.6751420342803627,0.0186015272344066,0.65603482390186,0.693192856609131,17694,144
2,21 September 2024,180,1,exprecast_patch_cnn,exPreCast + CNN,3,0.6854430347174274,0.0025241513640976,0.6837681389263341,0.6883462471628707,17694,144
2,21 September 2024,180,1,pysteps_patch_cnn,pySTEPS + CNN,3,0.6451131569663642,0.0069147669621548,0.6399357171554841,0.6529658667933793,17694,144
2,21 September 2024,180,5,direct_r2p,Direct R2P,3,0.3933895153044442,0.050398184124525,0.3389332898385255,0.4383902641405061,17694,144
2,21 September 2024,180,5,exprecast_patch_cnn,exPreCast + CNN,3,0.3968645930140788,0.0114157315148007,0.3844765342960289,0.4069600230083405,17694,144
2,21 September 2024,180,5,pysteps_patch_cnn,pySTEPS + CNN,3,0.2898801769407291,0.0012740379328207,0.2889316935842347,0.2913283062645012,17694,144
2,21 September 2024,180,10,direct_r2p,Direct R2P,3,0.20989065833801,0.0394299076401023,0.1665538253215978,0.2436486072849709,17694,144
2,21 September 2024,180,10,exprecast_patch_cnn,exPreCast + CNN,3,0.1891762676724725,0.0119831968819283,0.1758874320434921,0.1991601679664067,17694,144
2,21 September 2024,180,10,pysteps_patch_cnn,pySTEPS + CNN,3,0.0772605479322067,0.0073742598514724,0.0689888400405816,0.0831467860569235,17694,144
2,21 September 2024,180,20,direct_r2p,Direct R2P,3,0.0173754988278843,0.008985222124234,0.007600434310532,0.0252747252747252,17694,144
2,21 September 2024,180,20,exprecast_patch_cnn,exPreCast + CNN,3,0.0007122507122507,0.0012336544213453,0,0.0021367521367521,17694,144
2,21 September 2024,180,20,pysteps_patch_cnn,pySTEPS + CNN,3,0,0,0,0,17694,144
