Distance group,Distance to nearest fitting station (km),Stations,Lead (min),RN60 threshold (mm),All-station R2P CSI,Direct R2P CSI,ΔCSI (All-station − Direct),95% CI low,95% CI high,Common finite pairs
4,12.927–31.676,32,60,5,0.5452334421788871,0.5427103228161215,0.0025231193627656,-0.0030232878745524,0.0077295106273399,1103045
4,12.927–31.676,32,60,10,0.4512769585570307,0.4472164379284598,0.0040605206285708,-0.0028910637990427,0.0112058982993778,1103045
4,12.927–31.676,32,60,20,0.339073654787607,0.3292957649603733,0.0097778898272337,-0.0025901481973972,0.0221992169138018,1103045
4,12.927–31.676,32,90,1,0.5607472841061892,0.565887795821274,-0.0051405117150847,-0.0084144751093844,-0.0017637033536346,1103039
4,12.927–31.676,32,90,5,0.4438176123244877,0.4505306941550535,-0.0067130818305657,-0.0118632616449268,-0.0015270149556169,1103039
4,12.927–31.676,32,90,10,0.3370968138649391,0.337229915575663,-0.0001331017107239,-0.0077150776701062,0.0073951222371529,1103039
4,12.927–31.676,32,90,20,0.1994982033752264,0.1867424693483407,0.0127557340268856,-0.0018767207369513,0.0244956672901627,1103039
4,12.927–31.676,32,120,1,0.5044288800784076,0.5113265751443558,-0.0068976950659481,-0.0095212272657271,-0.0041296152213668,1103033
4,12.927–31.676,32,120,5,0.3729754549782881,0.3766585141994114,-0.0036830592211232,-0.0098997673747705,0.002565471255673,1103033
4,12.927–31.676,32,120,10,0.2505556342629568,0.2464764868462477,0.0040791474167091,-0.0027774550121503,0.0114703873229758,1103033
4,12.927–31.676,32,120,20,0.0962374088724808,0.0828520377537402,0.0133853711187406,-0.0024115284884351,0.0265134319629505,1103033
4,12.927–31.676,32,150,1,0.4626702671650356,0.4651193652018786,-0.0024490980368429,-0.005148061141943,0.0003291930714825,1103027
4,12.927–31.676,32,150,5,0.3222221354231705,0.3211341510126969,0.0010879844104736,-0.004633189012252,0.0067601190259947,1103027
4,12.927–31.676,32,150,10,0.1920114178993929,0.1778278310605448,0.0141835868388481,0.0066513183975746,0.0213185708565743,1103027
4,12.927–31.676,32,150,20,0.0510774218601946,0.0306637440827828,0.0204136777774117,0.0084537233260231,0.0297631340930935,1103027
4,12.927–31.676,32,180,1,0.4293499912378483,0.4279662456596656,0.0013837455781826,-0.0013727395179055,0.0041661717343307,1103021
4,12.927–31.676,32,180,5,0.2794354541276911,0.2737049048015662,0.0057305493261249,0.000207875736552,0.0110764262849318,1103021
4,12.927–31.676,32,180,10,0.1465367484994433,0.1315913418090442,0.014945406690399,0.0070759166297567,0.0220645068834745,1103021
4,12.927–31.676,32,180,20,0.0274323578354026,0.0125777708286924,0.0148545870067101,0.0020919402962352,0.0271531401727701,1103021
