route,route_label,lead_min,threshold_mm,member_count,csi_mean,csi_sd,pod_mean,pod_sd,far_mean,far_sd,frequency_bias_mean,frequency_bias_sd
exprecast_patch_cnn,exPreCast + CNN,120,20,3,0.011900307986949,0.0021016357428652,0.0120191442657166,0.0021627232647906,0.4372522558281072,0.046879039455859,0.0216272625859152,0.0054304673175273
exprecast_patch_cnn,exPreCast + CNN,130,1,3,0.4859645348014476,0.0024609527573115,0.6739788843231839,0.0115321947828933,0.3643725479004112,0.0143359162019005,1.060970595158084,0.0422194418745321
exprecast_patch_cnn,exPreCast + CNN,130,5,3,0.3212927606475688,0.0087382541054042,0.4280715611212318,0.0247137106790851,0.4354915935912313,0.0173898390376872,0.7596638512724478,0.0660354927602054
exprecast_patch_cnn,exPreCast + CNN,130,10,3,0.1577875711633508,0.0167439278413466,0.1879022258959674,0.0268515418540392,0.4953897571390822,0.031344621224324,0.3754305170140324,0.0738854963006235
exprecast_patch_cnn,exPreCast + CNN,130,20,3,0.0084944024860599,0.0021385254014619,0.0085645399258699,0.0021815026904498,0.4700187872601666,0.0282961113787426,0.016337399690525,0.0050777769216801
exprecast_patch_cnn,exPreCast + CNN,140,1,3,0.4740121862575197,0.002031686036987,0.6631459692764917,0.0117082138556431,0.3753432309224316,0.0137690597721973,1.062239634289863,0.0424181690353668
exprecast_patch_cnn,exPreCast + CNN,140,5,3,0.3056054942538785,0.0080760185074729,0.4085166736733039,0.0224351478592363,0.4504849588113512,0.0157437647426323,0.7445804722898114,0.0611390134589902
exprecast_patch_cnn,exPreCast + CNN,140,10,3,0.1440557445366514,0.0157262808984931,0.1715081380016138,0.0246913515664504,0.518588837119459,0.0269614324959365,0.3588396213418354,0.0691659347356795
exprecast_patch_cnn,exPreCast + CNN,140,20,3,0.0060343634495314,0.0023895898500895,0.0060815430566051,0.0024268185685109,0.5325244930508087,0.0169478136917092,0.0130987081219187,0.0054678959050624
exprecast_patch_cnn,exPreCast + CNN,150,1,3,0.4625767431566974,0.001777942155071,0.6525441753230733,0.0114058935167413,0.385960065491363,0.0130281093972209,1.063293149457362,0.0414965510024552
exprecast_patch_cnn,exPreCast + CNN,150,5,3,0.2923099561356184,0.0076030638098212,0.3936031525620936,0.0211642673492424,0.4669446463513568,0.0146309529703161,0.7394719968066722,0.0591013276842882
exprecast_patch_cnn,exPreCast + CNN,150,10,3,0.1331326230456867,0.0148986507088329,0.1590108441085591,0.0232052394584807,0.5427887831523763,0.0239143564175575,0.3501210367833736,0.0670521102509435
exprecast_patch_cnn,exPreCast + CNN,150,20,3,0.0048590016186129,0.002157833623045,0.0048940228147828,0.0021868386202077,0.5663555194805195,0.0244190395131472,0.0112994350282485,0.0049251465287489
exprecast_patch_cnn,exPreCast + CNN,160,1,3,0.4518068845568472,0.0018538218530873,0.643282316542315,0.0123131929489174,0.3968155150562634,0.0138359929707514,1.067171162893579,0.04540131116805
exprecast_patch_cnn,exPreCast + CNN,160,5,3,0.2790276042605641,0.0082069169014319,0.3767022943551983,0.0224765110298118,0.4801724336260584,0.0155550292487616,0.7259428173475845,0.0639586665451522
exprecast_patch_cnn,exPreCast + CNN,160,10,3,0.1238852029473936,0.0156695301741264,0.148058491271575,0.0240313962280912,0.5602763239746658,0.0236801799353965,0.3392474070575269,0.0707441380746861
