case_rank,event_label,lead_min,threshold_mm,route,route_label,member,replicate_id,upstream_seed,downstream_seed,hit,miss,false_alarm,correct_negative,finite_pair_count,n_issue_times,csi
1,17 July 2025,150,1,exprecast_patch_cnn,exPreCast + CNN,2,21042,6455,21042,5490,1645,1891,8640,17666,144,0.6082428539773986
1,17 July 2025,150,5,exprecast_patch_cnn,exPreCast + CNN,2,21042,6455,21042,1748,1445,1399,13074,17666,144,0.3806620209059233
1,17 July 2025,150,10,exprecast_patch_cnn,exPreCast + CNN,2,21042,6455,21042,631,1073,466,15496,17666,144,0.2907834101382488
1,17 July 2025,150,20,exprecast_patch_cnn,exPreCast + CNN,2,21042,6455,21042,18,739,19,16890,17666,144,0.0231958762886597
1,17 July 2025,150,1,direct_r2p,Direct R2P,0,0,,,6285,850,3518,7013,17666,144,0.5899746550267531
1,17 July 2025,150,5,direct_r2p,Direct R2P,0,0,,,1907,1286,1415,13058,17666,144,0.4138454861111111
1,17 July 2025,150,10,direct_r2p,Direct R2P,0,0,,,721,983,656,15306,17666,144,0.3055084745762711
1,17 July 2025,150,20,direct_r2p,Direct R2P,0,0,,,101,656,155,16754,17666,144,0.1107456140350877
1,17 July 2025,150,1,direct_r2p,Direct R2P,1,1,,,5913,1222,3258,7273,17666,144,0.5689406331184451
1,17 July 2025,150,5,direct_r2p,Direct R2P,1,1,,,1769,1424,1420,13053,17666,144,0.3834814654238023
1,17 July 2025,150,10,direct_r2p,Direct R2P,1,1,,,542,1162,364,15598,17666,144,0.2620889748549323
1,17 July 2025,150,20,direct_r2p,Direct R2P,1,1,,,13,744,16,16893,17666,144,0.0168175937904269
1,17 July 2025,150,1,direct_r2p,Direct R2P,2,2,,,6055,1080,3086,7445,17666,144,0.5924077878876822
1,17 July 2025,150,5,direct_r2p,Direct R2P,2,2,,,1514,1679,927,13546,17666,144,0.3674757281553398
1,17 July 2025,150,10,direct_r2p,Direct R2P,2,2,,,451,1253,339,15623,17666,144,0.2207537934410181
1,17 July 2025,150,20,direct_r2p,Direct R2P,2,2,,,50,707,72,16837,17666,144,0.060313630880579
1,17 July 2025,180,1,pysteps_patch_cnn,pySTEPS + CNN,0,21040,,21040,4582,2553,2208,8323,17666,144,0.4904206357700952
1,17 July 2025,180,5,pysteps_patch_cnn,pySTEPS + CNN,0,21040,,21040,818,2375,1256,13217,17666,144,0.1838615419195324
1,17 July 2025,180,10,pysteps_patch_cnn,pySTEPS + CNN,0,21040,,21040,67,1637,267,15695,17666,144,0.0339928970065956
1,17 July 2025,180,20,pysteps_patch_cnn,pySTEPS + CNN,0,21040,,21040,0,757,1,16908,17666,144,0
1,17 July 2025,180,1,pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,4446,2689,2040,8491,17666,144,0.4845776566757493
1,17 July 2025,180,5,pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,854,2339,1422,13051,17666,144,0.1850487540628385
1,17 July 2025,180,10,pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,74,1630,477,15485,17666,144,0.0339293901879871
1,17 July 2025,180,20,pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,0,757,3,16906,17666,144,0
1,17 July 2025,180,1,pysteps_patch_cnn,pySTEPS + CNN,2,21042,,21042,4444,2691,2024,8507,17666,144,0.4852058084943771
1,17 July 2025,180,5,pysteps_patch_cnn,pySTEPS + CNN,2,21042,,21042,794,2399,1337,13136,17666,144,0.1752759381898454
1,17 July 2025,180,10,pysteps_patch_cnn,pySTEPS + CNN,2,21042,,21042,75,1629,407,15555,17666,144,0.0355281856939838
1,17 July 2025,180,20,pysteps_patch_cnn,pySTEPS + CNN,2,21042,,21042,0,757,0,16909,17666,144,0
